ALL;Material;Material Description;Batch;Plnt;BUn;Type ;Statut ;Unrestricted;In Quality Insp.;Blocked;Value Unrestricted;Value in QualInsp.;Value BlockedStock;Quantité Disponible ;Valeur Disponible ;Quantité Bloquée ;Valeur Bloquée
661A;300424160;ENV EC CIRTF 30PES2150TR;2353297;66;M;RM;vivant;0,000;0,000;59,000;0,00;0,00;27,14;0,00;0,00;59,00;27,14
661A;300424160;ENV EC CIRTF 30PES2150TR;2376942;66;M;RM;vivant;1 114,000;0,000;0,000;512,44;0,00;0,00;1 114,00;512,44;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2377038;66;M;RM;vivant;2 760,000;0,000;0,000;1 269,60;0,00;0,00;2 760,00;1 269,60;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600094;66;M;RM;vivant;0,000;0,000;156,000;0,00;0,00;71,76;0,00;0,00;156,00;71,76
661A;300424160;ENV EC CIRTF 30PES2150TR;2600132;66;M;RM;vivant;325,600;0,000;0,000;149,78;0,00;0,00;325,60;149,78;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600147;66;M;RM;vivant;0,000;0,000;1 544,800;0,00;0,00;710,61;0,00;0,00;1 544,80;710,61
661A;300424160;ENV EC CIRTF 30PES2150TR;2600187;66;M;RM;vivant;6 030,900;0,000;0,000;2 774,21;0,00;0,00;6 030,90;2 774,21;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600205;66;M;RM;vivant;745,200;0,000;0,000;342,79;0,00;0,00;745,20;342,79;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600226;66;M;RM;vivant;2 339,400;0,000;0,000;1 076,12;0,00;0,00;2 339,40;1 076,12;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600238;66;M;RM;vivant;3 085,000;0,000;0,000;1 419,10;0,00;0,00;3 085,00;1 419,10;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600245;66;M;RM;vivant;2 247,800;0,000;0,000;1 033,99;0,00;0,00;2 247,80;1 033,99;0,00;0,00
661A;300424160;ENV EC CIRTF 30PES2150TR;2600256;66;M;RM;vivant;32 489,700;0,000;0,000;14 945,25;0,00;0,00;32 489,70;14 945,25;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2376836;66;M;RM;vivant;66,000;0,000;0,000;30,36;0,00;0,00;66,00;30,36;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2376942;66;M;RM;vivant;66,000;0,000;0,000;30,36;0,00;0,00;66,00;30,36;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2377038;66;M;RM;vivant;329,000;0,000;0,000;151,34;0,00;0,00;329,00;151,34;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600147;66;M;RM;vivant;18,400;0,000;0,000;8,46;0,00;0,00;18,40;8,46;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600176;66;M;RM;vivant;71,700;0,000;0,000;32,98;0,00;0,00;71,70;32,98;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600187;66;M;RM;vivant;129,300;0,000;0,000;59,48;0,00;0,00;129,30;59,48;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600205;66;M;RM;vivant;605,800;0,000;0,000;278,67;0,00;0,00;605,80;278,67;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600226;66;M;RM;vivant;552,100;0,000;0,000;253,97;0,00;0,00;552,10;253,97;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600245;66;M;RM;vivant;606,000;0,000;0,000;278,76;0,00;0,00;606,00;278,76;0,00;0,00
661E;300424160;ENV EC CIRTF 30PES2150TR;2600256;66;M;RM;vivant;1 635,000;0,000;0,000;752,10;0,00;0,00;1 635,00;752,10;0,00;0,00
662A;300424160;ENV EC CIRTF 30PES2150TR;2600094;66;M;RM;vivant;182,000;0,000;0,000;83,72;0,00;0,00;182,00;83,72;0,00;0,00
661E;310048219;DUVETINE PAMPLEMOU F681MISTRAL HZD L1470;2226344;66;M;RM;vivant;539,130;0,000;0,000;4 528,69;0,00;0,00;539,13;4 528,69;0,00;0,00
661A;331001767;SILICON SERGE NOIR CAL TSC L2000;1820613;66;M;FG;vivant;813,000;0,000;0,000;1 175,64;0,00;0,00;813,00;1 175,64;0,00;0,00
661A;331001927;CURITIBA G282 MISTRAL HZD L1920;2377120;66;M;FG;obsolète;1 028,530;0,000;0,000;2 527,30;0,00;0,00;1 028,53;2 527,30;0,00;0,00
661A;331002436;NILO GREY L1920;2371127;66;M;FG;vivant;0,000;0,000;298,770;0,00;0,00;1 350,09;0,00;0,00;298,77;1 350,09
661A;331002436;NILO GREY L1920;2383774;66;M;FG;vivant;0,000;0,000;520,700;0,00;0,00;2 352,95;0,00;0,00;520,70;2 352,95
661A;331002436;NILO GREY L1920;2394597;66;M;FG;vivant;623,810;0,000;0,000;2 818,89;0,00;0,00;623,81;2 818,89;0,00;0,00
661A;331002436;NILO GREY L1920;2394598;66;M;FG;vivant;0,000;0,000;690,650;0,00;0,00;3 120,93;0,00;0,00;690,65;3 120,93
661A;331006194;PES.DTY.0177F047X2.RND.SD.HRD.0105.RW.Y0;1618F1;66;KG;RM;vivant;105,000;0,000;0,000;379,05;0,00;0,00;105,00;379,05;0,00;0,00
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2286023;66;M;FG;vivant;0,000;0,000;319,080;0,00;0,00;1 033,37;0,00;0,00;319,08;1 033,37
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2293371;66;M;FG;vivant;0,000;0,000;180,610;0,00;0,00;584,92;0,00;0,00;180,61;584,92
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2329346;66;M;FG;vivant;0,000;0,000;326,650;0,00;0,00;1 057,88;0,00;0,00;326,65;1 057,88
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2394484;66;M;FG;vivant;1 396,570;0,000;0,000;4 522,90;0,00;0,00;1 396,57;4 522,90;0,00;0,00
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2394485;66;M;FG;vivant;591,220;0,000;0,000;1 914,71;0,00;0,00;591,22;1 914,71;0,00;0,00
661A;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2399800;66;M;FG;vivant;1 305,580;0,000;0,000;4 228,23;0,00;0,00;1 305,58;4 228,23;0,00;0,00
661E;331017466;CURITIBA G345BITON BLANC SONIC HWL L1920;2390438;66;M;FG;vivant;389,920;0,000;0,000;1 262,79;0,00;0,00;389,92;1 262,79;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2280109;66;M;RM;vivant;120,000;0,000;0,000;61,20;0,00;0,00;120,00;61,20;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2318316;66;M;RM;vivant;30,000;0,000;0,000;15,30;0,00;0,00;30,00;15,30;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2322585;66;M;RM;vivant;109,000;0,000;0,000;55,59;0,00;0,00;109,00;55,59;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2332788;66;M;RM;vivant;552,000;0,000;0,000;281,52;0,00;0,00;552,00;281,52;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2356326;66;M;RM;vivant;1 044,000;0,000;509,000;532,44;0,00;259,59;1 044,00;532,44;509,00;259,59
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2366843;66;M;RM;vivant;537,000;0,000;0,000;273,87;0,00;0,00;537,00;273,87;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2377249;66;M;RM;vivant;535,000;0,000;0,000;272,85;0,00;0,00;535,00;272,85;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2377375;66;M;RM;vivant;1 503,000;0,000;0,000;766,53;0,00;0,00;1 503,00;766,53;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2378143;66;M;RM;vivant;490,000;0,000;0,000;249,90;0,00;0,00;490,00;249,90;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2379903;66;M;RM;vivant;512,000;0,000;0,000;261,12;0,00;0,00;512,00;261,12;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2382711;66;M;RM;vivant;1 051,000;0,000;0,000;536,01;0,00;0,00;1 051,00;536,01;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2389003;66;M;RM;vivant;2 146,000;0,000;0,000;1 094,46;0,00;0,00;2 146,00;1 094,46;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2389125;66;M;RM;vivant;2 327,000;0,000;0,000;1 186,77;0,00;0,00;2 327,00;1 186,77;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2600 246;66;M;RM;vivant;8 751,300;0,000;0,000;4 463,16;0,00;0,00;8 751,30;4 463,16;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2600 264;66;M;RM;vivant;7 870,700;0,000;0,000;4 014,06;0,00;0,00;7 870,70;4 014,06;0,00;0,00
661A;331021623;ENV BL CIRTF 42PES 2050 TR;2600246;66;M;RM;vivant;4 961,000;0,000;0,000;2 530,11;0,00;0,00;4 961,00;2 530,11;0,00;0,00
661E;331021623;ENV BL CIRTF 42PES 2050 TR;2340722;66;M;RM;vivant;72,000;0,000;0,000;36,72;0,00;0,00;72,00;36,72;0,00;0,00
